1274772278799142914	22698957	[CLS] low ##key a great day to go to the movies and theater jump 	0
1272673692825333760	155114163	[CLS] don ’ t ever fight at one of my events [unk] i ’ ll fight at your event , die at your funeral , get engaged at your wedding bitch even celebrate my birthday at your birthday party no shade 	1
1272652057019854850	862601473	[CLS] some corona [unk] new york , new york 	0
1272641932326514688	2320034306	[CLS] fun fact today ’ s dwight and angela ’ s wedding anniversary 	1
1272627705540902920	959877857890783232	[CLS] j ##no putting on her wig to see wedding venues gt gt gt gt 	0
1272627449126363138	959877857890783232	[CLS] wedding venue secured . 	1
1272621546104856577	50706690	[CLS] updated incident on both directions from court square station to church avenue station 	0
1272612802201452544	17329137	[CLS] i am heading to fed ##ex at 0 pm so if you call now , after 0 pm , i may be able to arrange a pickup or a meet ##up by west ##med in downtown nr or at fed ##ex off palmer h ##y stop shop 	1
1272605865330311170	36769261	[CLS] if you ever come to new jersey can i take you out on a date 	0
1272600265540218885	123266709	[CLS] ok happy [unk] instead of finding time to go talk shit on people ’ s pages you should go to the gym ha ##ha ##ha 	0
1272593188562370563	284572427	[CLS] i thought it was real thought “ that dude is standing next to trump ” it ’ s really cool . i would totally love that at a wedding . it ’ s really funny . you have to be brave to be funny bc being funny is offensive . comedians have it really hard now . even leftist ones . sense of humor is rare 	0
1272588868919984129	14661445	[CLS] has your ballroom wedding suddenly become a backyard wedding we ’ ve got you covered with our brand new original petite runner . about 0 feet long and just 0 plus shipping . order one … 	0
1272584085362409473	4155116968	[CLS] i am not try ##in to hear or see nyc be shut down again [unk] is bad enough that my birthday is 0 ##mo ##rrow i m not even able to go to a restaurant w outside dining . . . at least [unk] every other part of this state is in except us in it together people 	2
1272569056172945412	3537612442	[CLS] bitch lets go shopping 	0
1272564225718865920	2688845684	[CLS] watch our virtual science fair 0 ##th anniversary video right now live on microsoft teams 	0
1272560141209124865	1676337354	[CLS] here is a little something from back in the day . our wedding day 0 ##yr ##s ago today . honey . looking forward to our day together . photo by my brother [unk] ron … 	0
